station_name,station_id
,
2112 W Peterson Ave,456
2112 W Peterson Ave,KA1504000155
63rd St Beach,101
63rd St Beach,15491
900 W Harrison St,109
900 W Harrison St,13028
Aberdeen St & Jackson Blvd,21
Aberdeen St & Jackson Blvd,13157
Aberdeen St & Monroe St,80
Aberdeen St & Monroe St,13156
Aberdeen St & Randolph St,621
Aberdeen St & Randolph St,18062
Ada St & 113th St,727
Ada St & 113th St,20129
Ada St & Washington Blvd,346
Ada St & Washington Blvd,13353
Adler Planetarium,341
Adler Planetarium,13431
Albany Ave & 26th St,444
Albany Ave & 26th St,15691
Albany Ave & Bloomingdale Ave,511
Albany Ave & Bloomingdale Ave,15655
Albany Ave & Montrose Ave,480
Albany Ave & Montrose Ave,15621
Archer (Damen) Ave & 37th St,645
Archer (Damen) Ave & 37th St,18022
Artesian Ave & Hubbard St,376
Artesian Ave & Hubbard St,15664
Ashland Ave & 13th St,275
Ashland Ave & 13th St,13354
Ashland Ave & 50th St,555
Ashland Ave & 50th St,16940
Ashland Ave & 63rd St,563
Ashland Ave & 63rd St,16948
Ashland Ave & 66th St,565
Ashland Ave & 66th St,16950
Ashland Ave & 69th St,566
Ashland Ave & 73rd St,679
Ashland Ave & 74th St,679
Ashland Ave & 78th St,683
Ashland Ave & 78th St,20234
Ashland Ave & Archer Ave,368
Ashland Ave & Archer Ave,15442
Ashland Ave & Augusta Blvd,30
Ashland Ave & Augusta Blvd,13248
Ashland Ave & Belle Plaine Ave,246
Ashland Ave & Belle Plaine Ave,13249
Ashland Ave & Blackhawk St,333
Ashland Ave & Blackhawk St,13224
Ashland Ave & Chicago Ave,350
Ashland Ave & Chicago Ave,13247
Ashland Ave & Division St,210
Ashland Ave & Division St,13061
Ashland Ave & Garfield Blvd,558
Ashland Ave & Garfield Blvd,16943
Ashland Ave & Grace St,347
Ashland Ave & Grace St,13319
Ashland Ave & Grand Ave,277
Ashland Ave & Grand Ave,13434
Ashland Ave & Lake St,119
Ashland Ave & Lake St,13073
Ashland Ave & McDowell Ave,552
Ashland Ave & McDowell Ave,16937
Ashland Ave & Pershing Rd,547
Ashland Ave & Pershing Rd,16932
Ashland Ave & Wellington Ave,250
Ashland Ave & Wellington Ave,13269
Ashland Ave & Wrightwood Ave,166
Ashland Ave & Wrightwood Ave,13296
Austin Blvd & Chicago Ave,524
Austin Blvd & Chicago Ave,16921
Austin Blvd & Lake St,532
Austin Blvd & Lake St,16906
Austin Blvd & Madison St,544
Austin Blvd & Madison St,16918
Avenue O & 118th St,719
Avenue O & 118th St,20218
Avenue O & 134th St,704
Avers Ave & Belmont Ave,496
Avers Ave & Belmont Ave,15640
Avondale Ave & Irving Park Rd,483
Avondale Ave & Irving Park Rd,15624
Baltimore Ave & 87th St,693
Baltimore Ave & 87th St,20229
Base - 2132 W Hubbard Warehouse,Hubbard Bike-checking (LBS-WH-TEST)
Bennett Ave & 79th St,578
Bennett Ave & 79th St,16970
Benson Ave & Church St,596
Bernard St & Elston Ave,640
Bernard St & Elston Ave,18016
Big Marsh Park,717
Big Marsh Park,20232
Bissell St & Armitage Ave,113
Bissell St & Armitage Ave,13059
Blackstone Ave & Hyde Park Blvd,121
Blackstone Ave & Hyde Park Blvd,13398
Blue Island Ave & 18th St,129
Blue Island Ave & 18th St,13135
Bosworth Ave & Howard St,522
Bosworth Ave & Howard St,16806
Bradley Park,731
Bradley Park,20227
Broadway & Argyle St,295
Broadway & Argyle St,13108
Broadway & Barry Ave,300
Broadway & Barry Ave,13137
Broadway & Belmont Ave,296
Broadway & Belmont Ave,13277
Broadway & Berwyn Ave,294
Broadway & Berwyn Ave,13109
Broadway & Cornelia Ave,303
Broadway & Cornelia Ave,13278
Broadway & Granville Ave,454
Broadway & Granville Ave,15571
Broadway & Ridge Ave,461
Broadway & Ridge Ave,15578
Broadway & Sheridan Rd,256
Broadway & Sheridan Rd,13323
Broadway & Thorndale Ave,458
Broadway & Thorndale Ave,15575
Broadway & Waveland Ave,304
Broadway & Waveland Ave,13325
Broadway & Wilson Ave,293
Broadway & Wilson Ave,13074
Buckingham Fountain,2
Buckingham Fountain,15541
Budlong Woods Library,468
Budlong Woods Library,15585
Burling St & Diversey Pkwy,332
Burling St & Diversey Pkwy,TA1309000036
Burling St (Halsted) & Diversey Pkwy (Temp),332
Burnham Greenway & 105th St,710
Burnham Greenway & 105th St,20222
Burnham Harbor,4
Burnham Harbor,15545
California Ave & 21st St,348
California Ave & 21st St,13096
California Ave & 23rd Pl,442
California Ave & 23rd Pl,15689
California Ave & 26th St,445
California Ave & 26th St,15692
California Ave & Altgeld St,502
California Ave & Altgeld St,15646
California Ave & Byron St,487
California Ave & Byron St,15628
California Ave & Cortez St,622
California Ave & Cortez St,17660
California Ave & Division St,216
California Ave & Division St,13256
California Ave & Fletcher St,498
California Ave & Fletcher St,15642
California Ave & Francis Pl (Temp),259
California Ave & Francis Pl (Temp),13259
California Ave & Lake St,378
California Ave & Lake St,15666
California Ave & Milwaukee Ave,123
California Ave & Milwaukee Ave,13084
