member_casual,day_of_year,trip_date,avg_ride_len_secs,avg_ride_len,num_rides,daily_rides,part_of_daily_rides,part_of_tot_rides
casual,1,2020-01-01,2945,00:49:05,471,2116,0.22258979206049148,0.00014142886998633154
member,1,2020-01-01,766,00:12:46,1645,2116,0.77741020793950855,0.00049395008731956559
member,2,2020-01-02,687,00:11:27,5768,6423,0.89802273081114747,0.001731978178516264
casual,2,2020-01-02,2213,00:36:53,655,6423,0.10197726918885257,0.00019667921409988781
casual,3,2020-01-03,1870,00:31:10,451,5852,0.077067669172932327,0.00013542339780007543
member,3,2020-01-03,658,00:10:58,5401,5852,0.92293233082706772,0.0016217777638984643
member,4,2020-01-04,621,00:10:21,2767,3152,0.87785532994923854,0.00083085707696853371
casual,4,2020-01-04,1915,00:31:55,385,3152,0.12214467005076142,0.00011560533958543024
casual,5,2020-01-05,2036,00:33:56,425,2990,0.14214046822742474,0.00012761628395794247
member,5,2020-01-05,644,00:10:44,2565,2990,0.85785953177257523,0.000770201807887347
member,6,2020-01-06,684,00:11:24,6719,7009,0.95862462548152372,0.0020175383809727422
casual,6,2020-01-06,1840,00:30:40,290,7009,0.041375374518476248,8.70793467007137e-05
member,7,2020-01-07,645,00:10:45,6854,7218,0.94957051814907178,0.0020580753182299709
casual,7,2020-01-07,1766,00:29:26,364,7218,0.050429481850928236,0.00010929959378986133
member,8,2020-01-08,596,00:09:56,5226,5399,0.96795702907945913,0.0015692298822687232
casual,8,2020-01-08,1826,00:30:26,173,5399,0.032042970920540842,5.1947334411115406e-05
member,9,2020-01-09,664,00:11:04,6439,6742,0.95505784633639867,0.0019334617703651567
casual,9,2020-01-09,1510,00:25:10,303,6742,0.044942153663601304,9.0982903621780162e-05
member,10,2020-01-10,633,00:10:33,5366,5648,0.95007082152974509,0.001611268187572516
casual,10,2020-01-10,2348,00:39:08,282,5648,0.049929178470254958,8.467715782621125e-05
member,11,2020-01-11,587,00:09:47,885,955,0.92670157068062831,0.00026574214424183318
casual,11,2020-01-11,3160,00:52:40,70,955,0.073298429319371722,2.101915265189641e-05
member,12,2020-01-12,627,00:10:27,1602,1741,0.92016082711085578,0.00048103832211911495
casual,12,2020-01-12,3743,01:02:23,139,1741,0.079839172889144175,4.1738031694480014e-05
member,13,2020-01-13,653,00:10:53,5889,6102,0.96509341199606691,0.0017683112852431135
casual,13,2020-01-13,2188,00:36:28,213,6102,0.034906588003933134,6.3958278783627639e-05
member,14,2020-01-14,666,00:11:06,6707,7009,0.95691254101869028,0.0020139350976609888
casual,14,2020-01-14,1834,00:30:34,302,7009,0.043087458981309744,9.0682630012467363e-05
member,15,2020-01-15,660,00:11:00,6596,6864,0.960955710955711,0.0019806047270272673
casual,15,2020-01-15,1573,00:26:13,268,6864,0.039044289044289048,8.0473327295831957e-05
member,16,2020-01-16,595,00:09:55,5225,5448,0.95906754772393543,0.0015689296086594104
casual,16,2020-01-16,1479,00:24:39,223,5448,0.04093245227606461,6.69610148767557e-05
member,17,2020-01-17,594,00:09:54,3660,3826,0.95661265028750653,0.0010990014100848693
casual,17,2020-01-17,2563,00:42:43,166,3826,0.043387349712493466,4.9845419145925766e-05
member,18,2020-01-18,609,00:10:09,989,1061,0.93213949104618288,0.00029697059961036497
casual,18,2020-01-18,3569,00:59:29,72,1061,0.06786050895381715,2.1619699870522021e-05
member,19,2020-01-19,602,00:10:02,822,878,0.9362186788154897,0.0002468249068551264
