member_casual,day_of_year,month,day_of_month,avg_ride_len_secs,avg_ride_len,num_rides,part_of_tot_rides
casual,92,Apr,1,1836,00:30:36,394,0.0001183078020692455
member,92,Apr,1,1008,00:16:48,1863,0.00055940973414975723
member,93,Apr,2,1008,00:16:48,2020,0.00060655269081186778
casual,93,Apr,2,2226,00:37:06,541,0.00016244802263822795
casual,94,Apr,3,2456,00:40:56,945,0.00028375856080060149
member,94,Apr,3,1180,00:19:40,2534,0.00076089332599865
casual,95,Apr,4,2025,00:33:45,525,0.00015764364488922306
member,95,Apr,4,1062,00:17:42,1721,0.00051677088162733879
member,96,Apr,5,1174,00:19:34,1948,0.00058493299094134572
casual,96,Apr,5,2290,00:38:10,897,0.00026934542755358682
member,97,Apr,6,1032,00:17:12,1910,0.00057352259378745912
casual,97,Apr,6,2054,00:34:14,485,0.00014563270051671083
member,98,Apr,7,1193,00:19:53,3326,0.000998710024574392
casual,98,Apr,7,2668,00:44:28,1801,0.00054079277037236335
casual,99,Apr,8,2254,00:37:34,589,0.00017686115588524262
member,99,Apr,8,1040,00:17:20,1747,0.00052457799546947175
member,100,Apr,9,919,00:15:19,1545,0.000463922726388285
casual,100,Apr,9,1734,00:28:54,400,0.00012010944372512233
member,101,Apr,10,1057,00:17:37,2022,0.00060715323803049335
casual,101,Apr,10,2120,00:35:20,661,0.00019848085575576466
member,102,Apr,11,1234,00:20:34,2908,0.00087319565588163937
casual,102,Apr,11,2854,00:47:34,1478,0.000443804394564327
member,103,Apr,12,1224,00:20:24,2308,0.00069303149029395581
casual,103,Apr,12,2531,00:42:11,1297,0.00038945487127870913
casual,104,Apr,13,1776,00:29:36,334,0.00010029138551047714
member,104,Apr,13,954,00:15:54,1472,0.0004420027529084502
member,105,Apr,14,914,00:15:14,1331,0.00039966417399534454
casual,105,Apr,14,1686,00:28:06,251,7.5368675937514268e-05
member,106,Apr,15,951,00:15:51,1149,0.00034501437710041387
casual,106,Apr,15,1713,00:28:33,247,7.4167581500263045e-05
member,107,Apr,16,956,00:15:56,1830,0.00054950070504243467
casual,107,Apr,16,1651,00:27:31,413,0.0001240130006461888
member,108,Apr,17,882,00:14:42,1111,0.00033360397994652727
casual,108,Apr,17,1866,00:31:06,303,9.0982903621780162e-05
member,109,Apr,18,1297,00:21:37,3239,0.000972586220564178
casual,109,Apr,18,2536,00:42:16,1816,0.00054529687451205535
member,110,Apr,19,1253,00:20:53,3167,0.00095096652069365608
casual,110,Apr,19,2614,00:43:34,1913,0.00057442341461539758
member,111,Apr,20,1107,00:18:27,2645,0.00079422369663237141
casual,111,Apr,20,2327,00:38:47,1207,0.00036243024644055661
member,112,Apr,21,985,00:16:25,1961,0.00058883654786241225
casual,112,Apr,21,2127,00:35:27,624,0.00018737073221119084
casual,113,Apr,22,2123,00:35:23,404,0.00012131053816237355
member,113,Apr,22,907,00:15:07,1563,0.00046932765135591551
casual,114,Apr,23,1980,00:33:00,447,0.0001342223033628242
member,114,Apr,23,899,00:14:59,1818,0.000545897421730681
casual,115,Apr,24,2102,00:35:02,553,0.00016605130594998162
member,115,Apr,24,967,00:16:07,1681,0.00050475993725482662
member,116,Apr,25,896,00:14:56,831,0.00024952736933894163
casual,116,Apr,25,1911,00:31:51,199,5.975444825324836e-05
member,117,Apr,26,1363,00:22:43,3826,0.0011488468292307952
casual,117,Apr,26,2716,00:45:16,2293,0.00068852738615426381
casual,118,Apr,27,1943,00:32:23,629,0.00018887210025775487
member,118,Apr,27,1073,00:17:53,1925,0.00057802669792715122
casual,119,Apr,28,2570,00:42:50,951,0.00028556020245647836
member,119,Apr,28,1117,00:18:37,2388,0.00071705337903898037
casual,120,Apr,29,3011,00:50:11,132,3.9636116429290367e-05
member,120,Apr,29,791,00:13:11,499,0.0001498365310470901
casual,121,Apr,30,2071,00:34:31,602,0.0001807647128063091
member,121,Apr,30,996,00:16:36,1927,0.00057862724514577679
member,214,Aug,1,1072,00:17:52,9964,0.0029919262431927973
casual,214,Aug,1,2556,00:42:36,12640,0.0037954584217138655
member,215,Aug,2,1093,00:18:13,7303,0.002192898168811421
casual,215,Aug,2,2491,00:41:31,7570,0.00227307122249794
casual,216,Aug,3,2207,00:36:47,4966,0.0014911587438473936
member,216,Aug,3,912,00:15:12,7622,0.0022886854501822061
member,217,Aug,4,970,00:16:10,10217,0.0030678954663489371
casual,217,Aug,4,2337,00:38:57,6921,0.002078193650053929
member,218,Aug,5,934,00:15:34,10253,0.0030787053162841982
casual,218,Aug,5,2230,00:37:10,7012,0.0021055185485013943
casual,219,Aug,6,2251,00:37:31,8180,0.0024562381241787518
member,219,Aug,6,951,00:15:51,10940,0.0032849932858820957
member,220,Aug,7,970,00:16:10,11259,0.0033807805672528808
casual,220,Aug,7,2384,00:39:44,10544,0.0031660849365942245
casual,221,Aug,8,2578,00:42:58,15928,0.0047827580491343709
member,221,Aug,8,1088,00:18:08,11858,0.0035606444592312515
casual,222,Aug,9,2644,00:44:04,12557,0.0037705357121409029
member,222,Aug,9,1091,00:18:11,9820,0.0029486868434517532
casual,223,Aug,10,2032,00:33:52,3540,0.0010629685769673327
member,223,Aug,10,948,00:15:48,5707,0.0017136614883481829
casual,224,Aug,11,2230,00:37:10,6720,0.0020178386545820553
member,224,Aug,11,962,00:16:02,10350,0.0031078318563875404
casual,225,Aug,12,2047,00:34:07,6913,0.0020757914611794267
member,225,Aug,12,944,00:15:44,10759,0.0032306437625964778
casual,226,Aug,13,2045,00:34:05,7331,0.0022013058298721794
member,226,Aug,13,944,00:15:44,10499,0.0031525726241751484
casual,227,Aug,14,1994,00:33:14,8803,0.0026433085827806298
member,227,Aug,14,963,00:16:03,10681,0.003207222421070079
member,228,Aug,15,1078,00:17:58,10396,0.0031216444424159292
casual,228,Aug,15,2268,00:37:48,12213,0.0036672415905372978
casual,229,Aug,16,2484,00:41:24,12863,0.0038624194365906215
member,229,Aug,16,1125,00:18:45,10651,0.0031982142127906948
member,230,Aug,17,916,00:15:16,9664,0.0029018441603989556
casual,230,Aug,17,2127,00:35:27,6739,0.0020235438531589984
casual,231,Aug,18,2108,00:35:08,7251,0.0021772839411271548
member,231,Aug,18,919,00:15:19,11174,0.0033552573104612925
member,232,Aug,19,930,00:15:30,11175,0.0033555575840706051
casual,232,Aug,19,1984,00:33:04,7614,0.0022862832613077034
member,233,Aug,20,949,00:15:49,11173,0.0033549570368519794
