station_name,station_id,lat,lng,total_rides_from,members_from_st,casuals_from_st,members_norm,casuals_norm
Dusable Museum,224,41.791574580034748,-87.6078665579542,758,512,246,0.67546174142480209,0.32453825857519791
Shields Ave & 28th Pl,544,41.842730359761084,-87.635491157993812,1033,512,521,0.49564375605033884,0.50435624394966116
Torrence Ave & 126th Pl,602,41.666303438532154,-87.5571850863266,7,1,6,0.14285714285714285,0.8571428571428571
Western Ave & 111th St,649,41.6912407390262,-87.681309557932011,5,1,4,0.2,0.8
Michigan Ave & 114th St,421,41.687018412731334,-87.621136621457026,12,1,11,0.083333333333333329,0.91666666666666663
Bradley Park,54,41.717891094242063,-87.5646195348444,30,1,29,0.033333333333333333,0.96666666666666667
Ashland Ave & 73rd St,20,41.761225534608833,-87.663361502829261,9,1,8,0.1111111111111111,0.88888888888888884
Major Taylor Trail & 124th St,406,41.668711705924714,-87.63719570363871,5,1,4,0.2,0.8
Torrence Ave & 106th St,601,41.702843532115509,-87.559849159623511,14,1,13,0.071428571428571425,0.9285714285714286
Halsted St & 104th St,277,41.705140021739133,-87.642392148550726,24,1,23,0.041666666666666664,0.95833333333333337
Elizabeth St & 92nd St,236,41.7268054036623,-87.6542908397978,113,1,112,0.0088495575221238937,0.99115044247787609
Burling St & Diversey Pkwy,68,41.933124118287516,-87.647757831663043,2575,1793,782,0.6963106796116505,0.3036893203883495
Clinton St & Madison St,158,41.882208881273407,-87.641087672904575,18036,14081,3955,0.78071634508760257,0.21928365491239743
Dauphin Ave & 103rd St,203,41.707281802245646,-87.607675668705113,23,2,21,0.086956521739130432,0.91304347826086951
Halsted St & 111th St,278,41.69228939664864,-87.6426951944472,20,2,18,0.1,0.9
Oglesby Ave & 100th St,468,41.713347383962578,-87.565885321173383,52,2,50,0.038461538461538464,0.96153846153846156
Ada St & 113th St,7,41.687469137931032,-87.655402183908052,15,2,13,0.13333333333333333,0.8666666666666667
N Green St & W Lake St,458,41.89,-87.65,5,2,3,0.4,0.6
Racine Ave & 61st St,496,41.783191925170065,-87.654373574829933,31,2,29,0.064516129032258063,0.93548387096774188
Mlk Jr Dr & 47th St,442,41.809856577051519,-87.616282585480278,998,258,740,0.25851703406813625,0.74148296593186369
Marshfield Ave & 59th St,413,41.786820489898986,-87.666204045454535,39,3,36,0.076923076923076927,0.92307692307692313
Vincennes Ave & 104th St,612,41.704956149122808,-87.657066885964923,9,3,6,0.33333333333333331,0.66666666666666663
Mtl-Eco5.1-01,455,41.9171,-87.7482,4,3,1,0.75,0.25
Cottage Grove Ave & Oakwood Blvd,181,41.822974455184479,-87.607086878362992,2242,771,1471,0.34388938447814449,0.65611061552185546
State St & 19th St,568,41.856604620647666,-87.627541594290221,2661,1539,1122,0.57835400225479139,0.42164599774520856
Clark St & Randolph St,147,41.884599442096388,-87.631868280771414,10580,6915,3665,0.6535916824196597,0.34640831758034024
Peoria St & Jackson Blvd,478,41.877632770915142,-87.6495927057876,10450,7427,3023,0.7107177033492823,0.2892822966507177
Stony Island Ave & 90th St,592,41.73135340858547,-87.585793943436968,28,4,24,0.14285714285714285,0.8571428571428571
Homewood Ave & 115th St,305,41.684593020167327,-87.670787886851443,6,4,2,0.66666666666666663,0.33333333333333331
State St & 123rd St,567,41.67066608815999,-87.622736036410572,21,4,17,0.19047619047619047,0.80952380952380953
Oakley Ave & Touhy Ave,463,42.012332209516494,-87.688233173190071,645,260,385,0.40310077519379844,0.5968992248062015
Racine Ave & 18th St,494,41.858183897357847,-87.656488581026252,4302,2820,1482,0.6555090655509066,0.34449093444909346
Ellis Ave & 60th St,240,41.78510638094864,-87.601080716467578,5914,3844,2070,0.64998309097057827,0.35001690902942173
Larrabee St & Armitage Ave,367,41.918086224588322,-87.643741278605376,7904,5124,2780,0.64827935222672062,0.35172064777327933
Damen Ave & 59th St,184,41.7860193501805,-87.674168072202164,129,5,124,0.03875968992248062,0.96124031007751942
Dodge Ave & Main St,216,42.034668510969531,-87.6991820731436,7,5,2,0.7142857142857143,0.2857142857142857
Halsted St & 78th St,290,41.752498124996883,-87.643846167276891,45,5,40,0.1111111111111111,0.88888888888888884
Cottage Grove Ave & 111th Pl,172,41.691694782149376,-87.610002214689061,32,6,26,0.1875,0.8125
Ashland Ave & 74th St,21,41.759219399843928,-87.663487162199317,19,6,13,0.31578947368421051,0.68421052631578949
Burnham Greenway & 105th St,70,41.704598845374143,-87.528314942043934,35,6,29,0.17142857142857143,0.82857142857142863
Shields Ave & 43rd St,546,41.816203763938248,-87.634801828653067,40,6,34,0.15,0.85
2112 W Peterson Ave,1,41.991161729691875,-87.683592172455647,806,518,288,0.64267990074441683,0.35732009925558311
Clark St & Schreiber Ave,149,41.999255942024618,-87.671374550537081,2311,1542,769,0.66724361748160965,0.33275638251839029
Loomis Blvd & 84th St,401,41.741505908630629,-87.65841060431039,99,7,92,0.0707070707070707,0.92929292929292928
Damen Ave & 51st St,183,41.800910108024695,-87.6746855925926,77,7,70,0.090909090909090912,0.90909090909090906
Clyde Ave & 87th St,164,41.737161096769476,-87.572725853771658,24,7,17,0.29166666666666669,0.70833333333333337
Marquette Ave & 89th St,411,41.73368679967362,-87.558398620117771,29,7,22,0.2413793103448276,0.75862068965517238
South Chicago Ave & Elliot Ave,550,41.747358065359478,-87.58004314379086,26,7,19,0.26923076923076922,0.73076923076923073
Constance Ave & 95th St,169,41.722334433732073,-87.579046956502921,22,7,15,0.31818181818181818,0.68181818181818177
Carpenter St & 63rd St,101,41.779877170138896,-87.6509123888889,23,7,16,0.30434782608695654,0.69565217391304346
Jeffery Blvd & 91st St,323,41.729741798366994,-87.575846654498633,13,7,6,0.53846153846153844,0.46153846153846156
Dorchester Ave & 63rd St,219,41.780411789382107,-87.591395891682424,867,263,604,0.30334486735870819,0.69665513264129186
Eberhart Ave & 91st St,229,41.729265964660016,-87.611815654764484,96,8,88,0.083333333333333329,0.91666666666666663
Stewart Ave & 83rd St,585,41.743712807692305,-87.63408956125356,59,8,51,0.13559322033898305,0.864406779661017
Racine Ave & 65th St,497,41.775395786904767,-87.654306590476182,65,8,57,0.12307692307692308,0.87692307692307692
Dauphin Ave & 87th St,204,41.736513836450371,-87.6012613459836,39,8,31,0.20512820512820512,0.79487179487179482
Ashland Ave & 78th St,22,41.752214965145569,-87.663721892480723,98,8,90,0.081632653061224483,0.91836734693877553
Calumet Ave & 21st St,86,41.854187860132839,-87.619164846487635,2394,1288,1106,0.53801169590643272,0.46198830409356723
Damen Ave & Chicago Ave,186,41.895762396252628,-87.677196952948,8478,5896,2582,0.695447039396084,0.304552960603916
Broadway & Cornelia Ave,59,41.94552275103802,-87.646432521233308,17601,11528,6073,0.65496278620532922,0.34503721379467078
Summit Ave & 86th St,595,41.737853802198579,-87.644905826385127,42,9,33,0.21428571428571427,0.7857142857142857
Major Taylor Trail & 115th St,405,41.68495129040997,-87.645298009670455,39,9,30,0.23076923076923078,0.76923076923076927
Halsted St & 73rd St,289,41.7616096254613,-87.644153162811762,37,9,28,0.24324324324324326,0.7567567567567568
Ellis Ave & 83rd St,241,41.744125295061735,-87.5990420574074,131,9,122,0.068702290076335881,0.93129770992366412
Ewing Ave & Burnham Greenway,248,41.712726052773739,-87.534735841063423,20,9,11,0.45,0.55
Lincolnwood Dr & Central St,399,42.064858400981059,-87.7152864731919,706,521,185,0.73796033994334276,0.26203966005665724
Wabash Ave & Adams St,620,41.8794823159481,-87.625708062019825,8070,4105,3965,0.50867410161090454,0.49132589838909541
Wabash Ave & Roosevelt Rd,623,41.86721864991523,-87.6259715726802,20545,12297,8248,0.59853979070333418,0.40146020929666587
Walden Pkwy & 100th St,626,41.71222240468969,-87.667718583813226,34,10,24,0.29411764705882354,0.70588235294117652
Throop St & Taylor St,600,41.868930180750169,-87.659121733747213,1235,1034,201,0.83724696356275308,0.16275303643724695
