member_casual,month_num,starting_month,avg_ride_len_secs,avg_ride_len,max_ride_len,min_ride_len,num_rides,part_of_tot_rides
casual,1,Jan,2273,00:37:53,23:48:04,00:01:05,7678,0.002305500772303723
casual,2,Feb,2364,00:39:24,23:55:55,00:01:06,12206,0.0036651396752721077
casual,3,Mar,2474,00:41:14,23:53:10,00:01:01,24418,0.0073320809922000924
casual,4,Apr,2372,00:39:32,23:58:33,00:01:01,23331,0.0070056835788770725
casual,5,May,2678,00:44:38,23:53:20,00:01:01,85914,0.0257977068705004
casual,6,Jun,2554,00:42:34,23:55:42,00:01:01,152794,0.045880005861340854
casual,7,Jul,2686,00:44:46,23:58:54,00:01:01,265559,0.079740359415499409
casual,8,Aug,2273,00:37:53,23:59:49,00:01:01,277794,0.083414207025441583
casual,9,Sep,1961,00:32:41,23:59:33,00:01:01,212041,0.063670316392296658
casual,10,Oct,1692,00:28:12,23:59:54,00:01:01,120624,0.03622020384974789
casual,11,Nov,1763,00:29:23,23:55:03,00:01:01,72106,0.021651528873109178
casual,12,Dec,1436,00:23:56,23:41:27,00:01:01,24289,0.0072933456965987411
member,1,Jan,652,00:10:52,23:20:02,00:01:01,134865,0.040496400319971558
member,2,Feb,666,00:11:06,23:52:08,00:01:01,125383,0.037649205956467535
member,3,Mar,784,00:13:04,23:41:42,00:01:01,114351,0.034336587498528658
member,4,Apr,1094,00:18:14,23:56:39,00:01:01,60215,0.018080975384770603
member,5,May,1172,00:19:32,23:29:04,00:01:01,111415,0.03345498418158626
member,6,Jun,1107,00:18:27,23:46:15,00:01:01,184961,0.055538907052105881
member,7,Jul,1050,00:17:30,23:52:12,00:01:01,276113,0.082909447088186761
member,8,Aug,980,00:16:20,22:05:05,00:01:01,318269,0.0955677813623774
member,9,Sep,901,00:15:01,22:59:48,00:01:01,279042,0.083788948489863971
member,10,Oct,830,00:13:50,23:59:43,00:01:01,211750,0.063582936771986634
member,11,Nov,811,00:13:31,23:36:24,00:01:01,147124,0.044177454496537247
member,12,Dec,748,00:12:28,22:49:28,00:01:01,88054,0.026440292394429805
