member_casual,weekday_num,weekday,avg_ride_len_secs,avg_ride_len,max_ride_len,min_ride_len,num_rides,part_of_tot_rides
casual,1,Sun,2520,00:42:00,23:55:54,00:01:01,242713,0.072880308537139046
casual,2,Mon,2239,00:37:19,23:59:49,00:01:01,131039,0.039347553490740761
casual,3,Tue,2101,00:35:01,23:54:26,00:01:01,127485,0.038280381083243054
casual,4,Wed,2061,00:34:21,23:57:59,00:01:01,141395,0.04245718698878418
casual,5,Thu,2073,00:34:33,23:48:04,00:01:01,150913,0.045315191202223465
casual,6,Fri,2183,00:36:23,23:58:33,00:01:01,188455,0.056588063043044826
casual,7,Sat,2427,00:40:27,23:59:54,00:01:01,296754,0.089107394658012387
member,1,Sun,1044,00:17:24,23:29:04,00:01:01,254494,0.076417831928453209
member,2,Mon,857,00:14:17,23:17:37,00:01:01,276207,0.082937672807462157
member,3,Tue,855,00:14:15,23:56:39,00:01:01,298331,0.089580926139898681
member,4,Wed,861,00:14:21,23:39:52,00:01:01,311855,0.093641826432245057
member,5,Thu,870,00:14:30,23:46:15,00:01:01,310516,0.093239760069375219
member,6,Fri,901,00:15:01,23:52:08,00:01:01,307400,0.092304107502756513
member,7,Sat,1036,00:17:16,23:59:43,00:01:01,292739,0.087901796116621467
