member_casual,weekday_num,weekday,time_of_day,num_rides,part_of_tot_rides
casual,1,Sun,0,5504,0.0016527059456576832
casual,1,Sun,1,3812,0.0011446429987004157
casual,1,Sun,2,2264,0.00067981945148419239
casual,1,Sun,3,1176,0.00035312176455185967
casual,1,Sun,4,714,0.00021439535704934336
casual,1,Sun,5,591,0.00017746170310386825
casual,1,Sun,6,1128,0.000338708631304845
casual,1,Sun,7,1912,0.0005741231410060848
casual,1,Sun,8,3546,0.0010647702186232094
casual,1,Sun,9,6924,0.0020790944708818674
casual,1,Sun,10,11461,0.0034414358363340676
casual,1,Sun,11,17117,0.0051397833706072977
casual,1,Sun,12,20244,0.0060787389469284412
casual,1,Sun,13,23164,0.0069555378861218342
casual,1,Sun,14,24292,0.0072942465174266795
casual,1,Sun,15,24548,0.0073711165614107578
casual,1,Sun,16,22629,0.0067948915051394831
casual,1,Sun,17,19534,0.0058655446843163487
casual,1,Sun,18,16201,0.0048647327444767676
casual,1,Sun,19,12597,0.0037825466565134152
casual,1,Sun,20,9089,0.0027291868350440922
casual,1,Sun,21,5993,0.0017995397406116453
casual,1,Sun,22,4722,0.001417891983175069
casual,1,Sun,23,3551,0.0010662715866697735
casual,2,Mon,0,2210,0.0006636046765813009
casual,2,Mon,1,1349,0.00040506909896297506
casual,2,Mon,2,709,0.00021289398900277933
casual,2,Mon,3,423,0.00012701573673931687
casual,2,Mon,4,313,9.3985639714908218e-05
casual,2,Mon,5,619,0.0001858693641646268
casual,2,Mon,6,1643,0.00049334954010094
casual,2,Mon,7,3016,0.00090562520568742235
casual,2,Mon,8,3870,0.0011620588680405586
casual,2,Mon,9,3998,0.0012004938900325977
casual,2,Mon,10,5244,0.0015746348072363538
casual,2,Mon,11,7106,0.002133744267776798
casual,2,Mon,12,8611,0.0025856560497925711
casual,2,Mon,13,8912,0.0026760384061957254
casual,2,Mon,14,9426,0.0028303790413825077
casual,2,Mon,15,10459,0.0031405616798026361
casual,2,Mon,16,11046,0.0033168222884692533
casual,2,Mon,17,13530,0.0040627019340022628
casual,2,Mon,18,12244,0.0036765500724259947
casual,2,Mon,19,9280,0.0027865390944228382
casual,2,Mon,20,6418,0.0019271560245695879
casual,2,Mon,21,4602,0.0013818591500575324
casual,2,Mon,22,3719,0.0011167175530343249
casual,2,Mon,23,2292,0.00068822711254495092
casual,3,Tue,0,1304,0.00039155678654389879
casual,3,Tue,1,776,0.00023301232082673733
casual,3,Tue,2,425,0.00012761628395794247
casual,3,Tue,3,170,5.1046513583176989e-05
casual,3,Tue,4,298,8.948153557521614e-05
casual,3,Tue,5,662,0.00019878112936507747
casual,3,Tue,6,1824,0.00054769906338655785
casual,3,Tue,7,3141,0.00094315940685152312
casual,3,Tue,8,3858,0.0011584555847288049
casual,3,Tue,9,3801,0.001141339988997975
casual,3,Tue,10,4331,0.0013004850019337621
casual,3,Tue,11,5906,0.0017734159366014312
casual,3,Tue,12,7200,0.0021619699870522018
casual,3,Tue,13,7299,0.00219169707437417
casual,3,Tue,14,7789,0.0023388311429374444
casual,3,Tue,15,8615,0.0025868571442298222
casual,3,Tue,16,11281,0.0033873865866577623
casual,3,Tue,17,15585,0.0046797642011400789
casual,3,Tue,18,14553,0.0043698818363292636
casual,3,Tue,19,10536,0.0031636827477197222
casual,3,Tue,20,6995,0.0021004138971430766
casual,3,Tue,21,4836,0.0014521231746367289
casual,3,Tue,22,3683,0.0011059077030990639
casual,3,Tue,23,2617,0.00078581603557161287
casual,4,Wed,0,1513,0.00045431397089027521
casual,4,Wed,1,732,0.00021980028201697388
casual,4,Wed,2,498,0.00014953625743777731
casual,4,Wed,3,244,7.3266760672324621e-05
casual,4,Wed,4,268,8.0473327295831957e-05
casual,4,Wed,5,659,0.00019788030853713903
casual,4,Wed,6,1876,0.00056331329107082377
casual,4,Wed,7,3464,0.0010401477826595593
casual,4,Wed,8,4149,0.0012458352050388314
casual,4,Wed,9,3891,0.0011683646138361274
casual,4,Wed,10,4744,0.0014244980025799507
casual,4,Wed,11,6295,0.0018902223706241128
casual,4,Wed,12,7770,0.0023331259443605014
casual,4,Wed,13,8095,0.002430714867387163
casual,4,Wed,14,8586,0.0025781492095597507
casual,4,Wed,15,9933,0.0029826177613041004
casual,4,Wed,16,12301,0.0036936656681568246
casual,4,Wed,17,17636,0.0052956253738406433
casual,4,Wed,18,16095,0.00483290374188961
casual,4,Wed,19,11503,0.0034540473279252052
casual,4,Wed,20,7825,0.0023496409928727056
casual,4,Wed,21,5532,0.0016611136067184418
casual,4,Wed,22,4709,0.0014139884262540027
casual,4,Wed,23,3077,0.00092394189585550356
casual,5,Thu,0,1716,0.00051526951358077475
casual,5,Thu,1,930,0.00027925445666090944
casual,5,Thu,2,481,0.00014443160607945961
casual,5,Thu,3,281,8.4376884216898437e-05
casual,5,Thu,4,291,8.73796203100265e-05
casual,5,Thu,5,702,0.00021079207373758969
casual,5,Thu,6,1880,0.00056451438550807491
casual,5,Thu,7,3525,0.0010584644728276406
casual,5,Thu,8,4168,0.0012515404036157747
casual,5,Thu,9,4239,0.0012728598298769839
casual,5,Thu,10,4938,0.0014827510827866352
casual,5,Thu,11,6553,0.0019676929618268166
casual,5,Thu,12,7931,0.0023814699954598632
casual,5,Thu,13,8407,0.0025244002334927585
casual,5,Thu,14,9081,0.0027267846461695895
casual,5,Thu,15,10142,0.0030453749456504768
casual,5,Thu,16,13094,0.0039317826403418793
casual,5,Thu,17,17138,0.005146089116402866
casual,5,Thu,18,16918,0.0050800289223540494
casual,5,Thu,19,13166,0.0039534023402124016
casual,5,Thu,20,8911,0.0026757381325864128
casual,5,Thu,21,6531,0.0019610869424219347
casual,5,Thu,22,5739,0.0017232702438461926
casual,5,Thu,23,4151,0.001246435752257457
casual,6,Fri,0,2130,0.00063958278783627644
casual,6,Fri,1,1134,0.00034051027296072182
casual,6,Fri,2,617,0.00018526881694600121
casual,6,Fri,3,391,0.00011740698124130707
casual,6,Fri,4,319,9.5787281370785066e-05
casual,6,Fri,5,729,0.00021889946118903544
casual,6,Fri,6,1855,0.00055700754527525484
casual,6,Fri,7,3270,0.000981894702452875
casual,6,Fri,8,4030,0.0012101026455306075
casual,6,Fri,9,4452,0.0013368181086606116
casual,6,Fri,10,6150,0.0018466826972737558
casual,6,Fri,11,8262,0.0024808605601424017
casual,6,Fri,12,10573,0.003174792871264296
casual,6,Fri,13,11882,0.0035678510258547588
casual,6,Fri,14,12861,0.0038618188893719957
casual,6,Fri,15,14727,0.0044221294443496911
casual,6,Fri,16,16604,0.004985743009029828
casual,6,Fri,17,19514,0.0058595392121300926
casual,6,Fri,18,19086,0.0057310221073442122
casual,6,Fri,19,14950,0.0044890904592264471
casual,6,Fri,20,10817,0.0032480596319366208
casual,6,Fri,21,8113,0.0024361197923547938
casual,6,Fri,22,8209,0.0024649460588488229
casual,6,Fri,23,7780,0.0023361286804536295
casual,7,Sat,0,5329,0.0016001580640279422
casual,7,Sat,1,3533,0.0010608666617021429
casual,7,Sat,2,1873,0.0005624124702428853
casual,7,Sat,3,899,0.00026994597477221244
casual,7,Sat,4,626,0.00018797127942981644
casual,7,Sat,5,710,0.00021319426261209214
casual,7,Sat,6,1341,0.00040266691008847261
casual,7,Sat,7,2469,0.00074137554139331761
casual,7,Sat,8,4956,0.0014881560077542658
casual,7,Sat,9,8922,0.0026790411422888535
casual,7,Sat,10,14989,0.0045008011299896462
casual,7,Sat,11,20618,0.006191041276811431
casual,7,Sat,12,25008,0.0075092424216946481
casual,7,Sat,13,27706,0.0083193806196205991
casual,7,Sat,14,29000,0.0087079346700713687
casual,7,Sat,15,28086,0.0084334845911594649
casual,7,Sat,16,25928,0.00778549414226243
casual,7,Sat,17,22812,0.0068498415756437269
casual,7,Sat,18,19316,0.0058000850374861574
casual,7,Sat,19,16113,0.00483830866685724
casual,7,Sat,20,11694,0.0035113995873039512
casual,7,Sat,21,8699,0.0026120801274120979
casual,7,Sat,22,8276,0.002485064390672781
casual,7,Sat,23,7851,0.0023574481067148386
member,1,Sun,0,2914,0.00087499729753751619
member,1,Sun,1,1822,0.00054709851616793217
member,1,Sun,2,953,0.00028616074967510393
member,1,Sun,3,533,0.0001600458337637255
member,1,Sun,4,425,0.00012761628395794247
member,1,Sun,5,841,0.0002525301054320697
member,1,Sun,6,2455,0.00073717171086293829
member,1,Sun,7,4194,0.0012593475174579075
member,1,Sun,8,6988,0.002098311981877887
member,1,Sun,9,11133,0.0033429460924794671
member,1,Sun,10,15460,0.0046422299999759782
member,1,Sun,11,20230,0.006074535116398062
member,1,Sun,12,22254,0.0066822889016471812
member,1,Sun,13,23128,0.0069447280361865735
